Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / Canada,Price / Canada,Compare At Price / Canada,Included / International,Price / International,Compare At Price / International,Status
cat-dad-tshirt,,,,,,,,,Cardinal,,M,,,1049-9954-101792079-48309,182.117336555,,continue,customcat,19.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-cardinal-front-645bfcd7d3e4d.png?v=1684510773,lb,,11.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Cardinal,,L,,,1049-9954-101792079-48310,207.518509275,,continue,customcat,19.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-cardinal-front-645bfcd7d3e4d.png?v=1684510773,lb,,11.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Cardinal,,XL,,,1049-9954-101792079-48311,230.198127775,,continue,customcat,19.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-cardinal-front-645bfcd7d3e4d.png?v=1684510773,lb,,11.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Cardinal,,2XL,,,1049-9954-101792079-48312,254.646756518,,continue,customcat,21.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-cardinal-front-645bfcd7d3e4d.png?v=1684510773,lb,,13.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Cardinal,,3XL,,,1049-9954-101792079-48313,288.303310372,,continue,customcat,22.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-cardinal-front-645bfcd7d3e4d.png?v=1684510773,lb,,14.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Black,,S,,,1049-9953-101792079-48144,160.390262032,,continue,customcat,19.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-black-front-645bfcd7d3601.png?v=1684510779,lb,,11.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Black,,M,,,1049-9953-101792079-48145,176.628868878,,continue,customcat,19.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-black-front-645bfcd7d3601.png?v=1684510779,lb,,11.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Black,,L,,,1049-9953-101792079-48146,206.656683772,,continue,customcat,19.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-black-front-645bfcd7d3601.png?v=1684510779,lb,,11.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Black,,XL,,,1049-9953-101792079-48147,228.791991428,,continue,customcat,19.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-black-front-645bfcd7d3601.png?v=1684510779,lb,,11.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Black,,2XL,,,1049-9953-101792079-48148,254.193164148,,continue,customcat,21.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-black-front-645bfcd7d3601.png?v=1684510779,lb,,13.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Black,,3XL,,,1049-9953-101792079-48149,288.802261979,,continue,customcat,22.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-black-front-645bfcd7d3601.png?v=1684510779,lb,,14.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Navy,,S,,,1049-9966-101792079-48248,160.390262032,,continue,customcat,19.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-navy-front-2-645bfcd7d3ca2.png?v=1684510788,lb,,11.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Navy,,M,,,1049-9966-101792079-48249,176.628868878,,continue,customcat,19.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-navy-front-2-645bfcd7d3ca2.png?v=1684510788,lb,,11.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Navy,,L,,,1049-9966-101792079-48250,206.656683772,,continue,customcat,19.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-navy-front-2-645bfcd7d3ca2.png?v=1684510788,lb,,11.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Navy,,XL,,,1049-9966-101792079-48251,240.4039561,,continue,customcat,19.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-navy-front-2-645bfcd7d3ca2.png?v=1684510788,lb,,11.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Navy,,2XL,,,1049-9966-101792079-48252,238.58958662,,continue,customcat,21.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-navy-front-2-645bfcd7d3ca2.png?v=1684510788,lb,,13.49,,,,,,,,
cat-dad-tshirt,,,,,,,,,Navy,,3XL,,,1049-9966-101792079-48253,288.802261979,,continue,customcat,22.00,49.99,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/mens-classic-tee-navy-front-2-645bfcd7d3ca2.png?v=1684510788,lb,,14.49,,,,,,,,
big-deal-premium-dachshund-bandanas,Big Deal Premium Dachshund Bandanas,"<meta charset=""utf-8"">
<p>These Dachshund bandanas are made of 100% cotton fabric for a soft, high-quality look and feel. Cotton has many advantages such as moisture control, comfort, and durability. Not to mention, it’s hypoallergenic.</p>",Alpha Paw,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Apparel,"","clearance, dog, growaov-collection",true,Color,Black,,,,,Bandana_Doxie_Black,0.0,shopify,deny,manual,5.00,14.99,true,true,"",https://cdn.shopify.com/s/files/1/0582/8552/3124/files/IMG_1242.jpg?v=1684510754,1,Big Deal Premium Dachshund Bandanas | Alpha Paw,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/IMG_1243.jpg?v=1684510768,lb,,0.99,true,true,,,true,,,active
big-deal-premium-dachshund-bandanas,,,,,,,,,Red,,,,,Bandana_Doxie_Red,0.0,shopify,deny,manual,5.00,14.99,true,true,"",https://cdn.shopify.com/s/files/1/0582/8552/3124/files/IMG_1249.jpg?v=1684510762,2,Big Deal Premium Dachshund Bandanas | Alpha Paw,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/IMG_1245.jpg?v=1684510781,lb,,0.99,,,,,,,,
big-deal-premium-dachshund-bandanas,,,,,,,,,Blue,,,,,Bandana_Doxie_Blue,0.0,shopify,deny,manual,5.00,14.99,true,true,"",https://cdn.shopify.com/s/files/1/0582/8552/3124/files/IMG_1243.jpg?v=1684510768,3,Big Deal Premium Dachshund Bandanas | Alpha Paw,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/IMG_1248.jpg?v=1684510788,lb,,0.99,,,,,,,,
big-deal-premium-dachshund-bandanas,,,,,,,,,Tie Die,,,,,Bandana_Doxie_TieDie,0.0,shopify,deny,manual,5.00,14.99,true,true,"",https://cdn.shopify.com/s/files/1/0582/8552/3124/files/IMG_1244.jpg?v=1684510775,4,Big Deal Premium Dachshund Bandanas | Alpha Paw,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/8552/3124/files/IMG_1242.jpg?v=1684510754,lb,,0.99,,,,,,,,
